High,0.55571,0.55243,0.5973,0.62435,0.60588,0.581,0.53954,0.5496,0.533,0.52547,0.49091,0.50203,0.49365,0.48181,0.46658,0.44889,0.43163,0.43,0.525,0.48815
Low,0.50671,0.51227,0.523,0.55879,0.53117,0.51,0.50673,0.52565,0.51042,0.46998,0.46772,0.47924,0.46921,0.46208,0.37763,0.37795,0.41695,0.39928,0.39822,0.45474
Close,0.54333,0.54002,0.5691,0.58199,0.57785,0.51733,0.52841,0.52882,0.52065,0.48881,0.48275,0.49328,0.48185,0.46648,0.38324,0.42041,0.4225,0.40942,0.4605,0.4842
Volume,106348230.0,101603304.0,128707130.0,147196980.0,185598940.0,96107020.0,98793390.0,51481064.0,65427700.0,82445360.0,48312908.0,55226960.0,36664810.0,34381510.0,150927650.0,122613950.0,30923572.0,41097948.0,180022900.0,54029570.0
Open,0.46062,0.46743,0.46451,0.4617,0.4696,0.46392,0.46407,0.46658,0.4599,0.4643,0.4456,0.44727,0.4543,0.46105,0.4625,0.4573,0.47008,0.5014,0.55507,0.54086
High,0.47261,0.47809,0.46815,0.48534,0.4781,0.47288,0.47075,0.4672,0.468,0.4652,0.45346,0.46127,0.46115,0.46792,0.46455,0.47854,0.50576,0.57,0.55544,0.5463
Low,0.45617,0.463,0.45538,0.44447,0.4611,0.45745,0.45831,0.45655,0.45822,0.43513,0.44388,0.43774,0.4501,0.459,0.45525,0.44929,0.46412,0.50116,0.52837,0.4935
Close,0.46803,0.4647,0.46132,0.4696,0.46392,0.4635,0.46658,0.46052,0.464,0.44564,0.44726,0.45382,0.46105,0.46266,0.4569,0.47008,0.5014,0.5548,0.54083,0.49684
Volume,20208916.0,19725150.0,18516746.0,57316990.0,33501296.0,34153796.0,25157518.0,21253580.0,15055712.0,43363108.0,20701302.0,30899400.0,19145022.0,28502176.0,12583530.0,37351148.0,63846844.0,147164540.0,47493510.0,69379256.0
Open,0.35421,0.3389,0.31079,0.3057,0.31059,0.31725,0.3074,0.304,0.31275,0.30407,0.29382,0.29032,0.29296,0.33809,0.36182,0.35794,0.38781,0.36663,0.37273,0.37999
High,0.3558,0.34811,0.3196,0.34078,0.3295,0.32178,0.31901,0.31858,0.31386,0.30549,0.29717,0.30484,0.34895,0.36183,0.4062,0.40181,0.39865,0.37694,0.39652,0.46669
Low,0.33792,0.3065,0.29225,0.29408,0.30476,0.3002,0.299,0.30195,0.30032,0.28804,0.28534,0.29031,0.29073,0.33151,0.35343,0.353,0.36,0.35534,0.37056,0.3797
Close,0.33953,0.31065,0.30582,0.31073,0.31697,0.3075,0.30391,0.31293,0.30409,0.29382,0.29043,0.29307,0.33814,0.36182,0.35786,0.38736,0.36663,0.37303,0.37995,0.4137
Volume,46786700.0,62948776.0,68179490.0,54779490.0,29363794.0,24915210.0,22703624.0,19910422.0,20675428.0,27974722.0,15518325.0,20959202.0,52871710.0,51656490.0,91922936.0,73044780.0,51975370.0,27752918.0,40646656.0,123504536.0
Open,0.34773,0.38982,0.37546,0.38237,0.36131,0.3772,0.38694,0.3677,0.36856,0.361,0.3768,0.3734,0.37429,0.37601,0.33631,0.33599,0.33568,0.32164,0.33961,0.33123
High,0.3959,0.39958,0.38268,0.38961,0.37736,0.39307,0.3876,0.37434,0.37823,0.38498,0.38608,0.3825,0.3799,0.405,0.34495,0.341,0.341,0.34788,0.34312,0.34188
Low,0.34288,0.37001,0.36847,0.35616,0.35778,0.36967,0.36359,0.3584,0.35014,0.35442,0.36812,0.36656,0.36361,0.32303,0.33018,0.3322,0.31819,0.32121,0.32623,0.3289
Close,0.38982,0.37556,0.38236,0.36131,0.37719,0.38683,0.36734,0.36855,0.3611,0.3768,0.37349,0.37428,0.37601,0.33603,0.33597,0.33568,0.32183,0.3397,0.33123,0.33318
