Date,Open,High,Low,Close,Volume
2018-03-24,8917.2,9050.3,8460.0,8522.6,35409.65531391
2018-03-25,8521.6,8674.4,8364.8,8445.0,23490.79929311
2018-03-26,8445.3,8499.1,7835.9,8131.12312438,41319.32281935
2018-03-27,8133.2,8210.0,7716.6,7784.6,41502.25717373
2018-03-28,7785.0,8120.2,7702.1,7936.0,27949.81034184
2018-03-29,7936.1,7973.0,6883.0,7094.0,66181.76463901
2018-03-30,7094.0,7269.0,6533.0,6840.4,94683.82600229
2018-03-31,6838.0,7222.0,6780.06217933,6925.4,56303.61829463
2018-04-01,6925.3,7035.1,6425.1,6816.6,41642.57345028
2018-04-02,6816.7,7132.0,6769.4,7053.3,36230.08773941
2018-04-03,7053.4,7509.7,7019.9,7405.6,37406.45281585
2018-04-04,7405.6,7422.0,6670.0,6786.0,39315.73808472
2018-04-05,6785.9,6938.0,6565.0,6769.0,36427.95524133
2018-04-06,6770.4,6864.0,6500.2,6610.0,31374.12563188
2018-04-07,6610.3,7080.0,6599.9,6892.6,31454.18678836
2018-04-08,6892.62150518,7127.0,6883.0,7023.9,26602.66740826
2018-04-09,7023.9,7189.0,6611.0,6770.1,63914.80194437
2018-04-10,6770.1,6897.4,6650.0,6837.1,20954.90895694
2018-04-11,6836.1,7017.4,6794.0,6943.1,28066.77075711
2018-04-12,6943.1,8087.0,6753.0,7912.0,94578.84574316
2018-04-13,7911.9,8240.0,7739.1,7886.9,59903.05842061
2018-04-14,7889.2,8185.0,7820.5,8005.90324308,26520.47168413
2018-04-15,8007.13719858,8458.8,7997.2,8357.5,31903.36342454
2018-04-16,8357.4,8415.5,7900.3,8056.2,37556.90539263
2018-04-17,8056.2,8185.0,7823.0,7888.9,28238.53189988
2018-04-18,7888.9,8237.2,7870.5,8171.0,29561.23299016
2018-04-19,8172.7,8297.4,8032.2,8273.0,29215.2781057
2018-04-20,8273.6,8937.5,8219.0,8865.4,50910.48764688
2018-04-21,8863.3,9069.0,8616.0,8912.5,39569.36259725
2018-04-22,8912.4,9048.2,8751.08522139,8791.4,31444.63142715
2018-04-23,8791.4,9011.0,8769.0,8940.0,23257.40469698
2018-04-24,8940.3,9745.0,8929.9,9646.8,60351.4363934
2018-04-25,9646.9,9767.4,8765.1,8869.2,74563.78705265
2018-04-26,8867.4,9308.0,8652.2,9269.9,43219.82518380001
2018-04-27,9268.9,9381.1,8888.6,8920.1,30153.53624396
2018-04-28,8920.1,9500.0,8750.0,9345.7,45082.68295707
2018-04-29,9345.3,9565.1,9180.0,9400.0,27317.18897012
2018-04-30,9400.0,9450.0,9100.0,9240.6,23272.44121328
2018-05-01,9240.6,9247.3,8817.97469512,9068.2,25618.29910968
2018-05-02,9071.3,9279.9,8968.3,9236.4,20183.06924246
2018-05-03,9236.4,9875.0,9161.0,9759.0,36486.07108191
2018-05-04,9759.0,9848.0,9542.5,9703.0,24541.75830006
2018-05-05,9703.0,9990.0,9685.0,9861.2,29515.17033612
2018-05-06,9861.3,9964.0,9454.0,9658.7,26926.62708883
2018-05-07,9658.6,9677.9,9182.7,9370.0,25777.51751859
2018-05-08,9370.0,9471.0,9045.3,9184.7,25856.47774346
2018-05-09,9184.8,9375.8,8980.0,9318.2,22806.83809363
2018-05-10,9318.2,9393.9,9003.0,9018.0,23656.32064121
2018-05-11,9018.0,9018.1,8333.8,8412.4,54491.37206262
2018-05-12,8412.4,8631.7,8204.40576219,8470.8,36656.11285429
2018-05-13,8471.4,8760.0,8318.3,8683.6,22901.02790398
2018-05-14,8683.5,8884.5,8271.0,8670.8,37154.66777466
2018-05-15,8670.8,8855.7,8415.0,8467.5,26208.30282469
2018-05-16,8468.3,8492.7,8100.0,8336.1,32761.81738899
2018-05-17,8336.0,8482.2,7982.5,8054.3,25198.75333045
2018-05-18,8054.8,8277.2,7925.0,8238.9,23441.86359754
2018-05-19,8239.0,8468.0,8140.2,8231.0,14145.51584136
2018-05-20,8230.9,8597.9,8171.5,8523.7,15500.06161263
2018-05-21,8523.7,8644.0,8309.1,8399.6,17243.42785131
2018-05-22,8393.4,8408.28483299,7943.3,7977.85004461,20533.75166684
2018-05-23,7977.5,8020.0,7402.7,7494.8,41682.56642389
2018-05-24,7494.75035778,7729.83193573,7260.0,7576.7,38874.00093748
2018-05-25,7576.7,7654.1,7318.2,7456.7,25874.77784019
2018-05-26,7457.0,7624.1,7281.0,7327.7,13810.01732345
2018-05-27,7328.3,7425.4,7211.1,7339.7,16174.92718596
2018-05-28,7339.6,7437.7,7062.3,7097.9,26677.86919628
2018-05-29,7097.8,7536.0,7040.0,7465.2,27898.86827943
2018-05-30,7465.3,7560.0,7270.5,7375.12085307,22083.1286555
2018-05-31,7375.2,7599.7,7338.0,7485.8,19464.90994361
2018-06-01,7485.9,7599.8,7329.18847938,7521.0,19041.11552011
2018-06-02,7521.1,7698.8,7441.5,7638.1,17363.61246282
2018-06-03,7638.0,7779.0,7600.0,7718.0,13794.54197784
2018-06-04,7718.1,7764.0,7451.1,7488.3,18132.68188151
2018-06-05,7488.4,7675.0,7372.0,7621.9,16738.81068202
2018-06-06,7622.2,7700.0,7491.7,7654.0,18269.76321759
2018-06-07,7654.0,7756.3,7624.7,7688.9,11037.50621419
2018-06-08,7689.0,7697.0,7543.6,7615.1,12197.84324961
2018-06-09,7615.2,7685.0,7450.0,7498.5,7242.26022178
2018-06-10,7498.5,7498.6,6618.9,6758.0,57822.89152512
2018-06-11,6757.9,6899.0,6629.7,6873.3,22377.74129318
2018-06-12,6873.4,6873.4,6436.1,6543.9,32008.31280289
2018-06-13,6543.9,6611.7,6107.87718467,6295.1,45577.5818617
2018-06-14,6295.0,6736.52103872,6269.5,6633.7,33064.78236384
2018-06-15,6633.8,6659.0,6300.2,6385.0,21286.50090833
2018-06-16,6386.0,6559.7,6330.0,6485.9,13697.17619407
2018-06-17,6489.0,6573.0,6424.8,6438.4,9441.01666592
2018-06-18,6443.0,6849.7,6370.76958739,6709.2,26388.77690252
2018-06-19,6709.2,6848.2,6655.0,6735.5,17375.77019893
2018-06-20,6734.8,6825.0,6560.0,6760.4,18710.81266634
2018-06-21,6760.4,6788.8,6679.3,6715.2,10651.51052388
2018-06-22,6715.2,6731.0,5910.8,6042.6,55250.23591312
2018-06-23,6042.6,6259.0,6013.0,6151.92764906,20704.40327842
2018-06-24,6152.0,6249.7,5755.0,6148.0390596,45503.78957212
2018-06-25,6148.1,6341.0,6068.5,6246.6,27914.04128798
2018-06-26,6249.1,6280.8,6050.2,6073.4,18843.10466423
2018-06-27,6073.4,6192.7,5984.9,6133.08668215,18270.22724176
2018-06-28,6133.08668215,6170.9,5822.3,5848.1,17949.126096
2018-06-29,5850.0,6302.0,5780.0,6208.1,33933.19090224
2018-06-30,6208.2,6545.5,6195.2,6391.5,23879.20965955
2018-07-01,6391.6,6439.9,6260.0,6349.7,11380.24355273
2018-07-02,6349.3,6681.2,6275.0,6617.6,26915.25482506
2018-07-03,6617.2,6675.2,6470.5,6509.0,17272.525620900004
2018-07-04,6509.3,6784.9,6414.1,6590.0,22494.26066353
2018-07-05,6589.9,6704.7,6423.4,6531.3,23150.04261631
2018-07-06,6532.4,6641.78437543,6451.9,6602.2,14951.20398901
2018-07-07,6602.2,6839.4,6511.0,6761.8,15296.13130813
2018-07-08,6761.7,6801.9,6666.1,6707.0,13709.87022745
2018-07-09,6707.0,6820.0,6616.6,6666.9,16304.25057021
2018-07-10,6667.0,6685.8,6260.1,6301.8,28022.17128845
2018-07-11,6301.8,6407.9,6286.3,6377.8,16406.84890675
2018-07-12,6377.7,6377.7,6079.9,6249.0,24993.91896865
2018-07-13,6249.0,6339.9,6125.0,6220.0,20085.52601281
2018-07-14,6219.7,6320.0,6179.2,6250.0,8904.96079449
2018-07-15,6250.0,6389.0,6230.3,6347.2,10997.92007258
2018-07-16,6347.2,6750.0,6327.1,6729.2,31001.88370638
2018-07-17,6729.2,7483.9,6666.0,7319.8,48125.1686294
2018-07-18,7319.8,7588.0,7246.5,7379.4,39618.93100468
2018-07-19,7379.7,7560.0,7281.4,7473.5,22194.190779900004
2018-07-20,7473.5,7685.2,7273.1,7333.1,32744.68094293
2018-07-21,7333.1,7459.0,7221.0,7403.4,11412.43123891
2018-07-22,7403.3,7575.0,7329.1,7397.6,17184.04306544
2018-07-23,7398.7,7820.0,7374.0,7719.8,47517.72957085
2018-07-24,7718.9,8506.7,7690.0,8390.0,64736.62986719999
2018-07-25,8389.9,8488.1,8073.0,8178.4,36972.15077733
2018-07-26,8175.6,8323.1,7869.6,7939.0,32809.57622714
2018-07-27,7939.0,8291.0,7815.08505617,8188.0,34223.94888331
2018-07-28,8187.9,8262.0,8055.0,8235.6,13681.6212255
2018-07-29,8235.7,8313.3,8123.0,8221.0,10190.34115538
