Date,Open,High,Low,Close,Volume
2018-02-03,923.77,999.0,845.0,972.1,211353.86775562
2018-02-04,972.1,972.8,771.0,825.3,340168.03045374
2018-02-05,825.2,858.6,641.01,698.62,547559.09604872
2018-02-06,697.62,799.0,565.54,782.99,790355.79335489
2018-02-07,781.98,848.99,716.3,752.88,416880.11878033
2018-02-08,751.27,847.0,749.69,813.11,236095.21527155
2018-02-09,813.41,883.46,780.53,878.01,182418.44629922
2018-02-10,878.01,909.04,815.0,851.03,165702.84019870003
2018-02-11,851.66,854.99,778.47,810.46,146897.04158132
2018-02-12,810.45,876.61,810.18,866.4,130220.04901994
2018-02-13,866.45,869.28,821.11,839.83,130395.93026299
2018-02-14,839.99,922.0,837.97,919.13,199264.62306124
2018-02-15,919.09,945.0,903.04,925.02,205533.87298231
2018-02-16,925.03,944.0,906.66,937.38,134051.90890219
2018-02-17,937.38,973.97,933.11,973.28,124697.68806083
2018-02-18,973.29,979.0,901.0,913.13,183921.57485959
2018-02-19,913.19,955.99,907.28,939.19,118326.11356821
2018-02-20,939.18,959.0,874.12,883.91,150207.73538178
2018-02-21,883.92,903.33,815.29,837.79,220171.84689015
2018-02-22,837.8,869.78,788.0,802.85,180630.90550699
2018-02-23,802.85,881.2,787.0,852.56,162839.93406443
2018-02-24,852.18,873.0,808.17,831.51,147408.32750032
2018-02-25,831.52,848.49,816.01,838.71,101298.47810008
2018-02-26,839.38,881.97,830.33,867.76,136579.32595491
2018-02-27,867.76,895.0,862.0,871.73,93670.26222269
2018-02-28,871.42,888.61,850.7,851.26,93593.23518444
2018-03-01,851.25,886.54,845.2,869.24,90095.37502426
2018-03-02,869.23,879.37,849.11,854.5,58052.65939302
2018-03-03,854.5,869.0,852.28,855.29,40499.71346717
2018-03-04,855.3,868.26,834.46,866.06,45124.1533368
2018-03-05,866.06,870.0,847.62,848.13,55235.46905354
2018-03-06,848.13,850.0,803.07,814.45,89396.88867901
2018-03-07,814.44,824.24,725.0,749.2,174359.2988728
2018-03-08,749.21,770.0,688.0,697.3,146739.70988378
2018-03-09,697.31,728.0,637.63,724.61,229744.16699824
2018-03-10,724.62,745.0,676.22,679.68,117938.41582509
2018-03-11,679.6,735.08,660.0,719.86,139835.82665492
2018-03-12,719.85,739.85,676.11,696.52,123601.97212695
2018-03-13,696.51,714.3,676.6,688.49,131807.97050310002
2018-03-14,688.5,702.41,585.04,610.91,205411.74625454
2018-03-15,610.92,620.0,568.29,609.9,223868.62147021
2018-03-16,609.9,626.39,583.6,598.77,133513.13605543
2018-03-17,598.77,609.84,542.17,548.82,141331.89921437
2018-03-18,548.57,562.2,452.32,536.73,661848.3647657
2018-03-19,536.72,558.53,513.52,554.99,346871.20325187
2018-03-20,555.0,567.3,516.08,556.38,226632.37182265
